,Month,Qto_estacoes,ER_mean,ER_min,ER_max,ER_std,Variance,R2_score,MAE,MSE,MSLE,MedLE
1,Janeiro,458,37.511,1.205,183.696,34.583,0.642,0.640,37.511,2603.048,0.103,26.107
2,Fevereiro,458,33.159,0.192,119.654,27.096,0.666,0.663,33.159,1833.743,0.151,26.368
3,Março,458,42.744,0.280,126.412,30.180,0.536,0.480,42.744,2737.922,0.191,37.534
4,Abril,461,31.565,0.184,161.286,25.598,0.707,0.702,31.565,1651.599,0.228,28.500
5,Maio,461,28.325,0.308,330.531,38.727,0.720,0.719,28.325,2302.110,0.228,15.825
6,Junho,467,26.170,0.153,205.118,34.517,0.662,0.656,26.170,1876.325,0.228,14.101
7,Julho,467,16.585,0.209,116.593,19.703,0.816,0.814,16.585,663.277,0.228,9.444
8,Agosto,468,11.339,0.128,67.843,12.974,0.847,0.846,11.339,296.893,0.228,7.004
9,Setembro,470,19.964,0.171,85.037,17.669,0.745,0.744,19.964,710.750,0.228,13.363
10,Outubro,458,22.551,0.986,85.615,17.163,0.724,0.724,22.551,803.100,0.226,18.129
11,Novembro,459,35.647,0.319,245.898,38.822,0.648,0.617,35.647,2777.819,0.226,25.264
12,Dezembro,459,36.594,0.290,194.005,27.867,0.663,0.642,36.594,2115.709,0.226,31.463
