,Month,Qto_estacoes,ER_mean,ER_min,ER_max,ER_std,Variance,R2_score,MAE,MSE,MSLE,MedLE,Var_target,std_target
1,Janeiro,458,0.240,0.001,0.942,0.202,0.969,0.969,0.240,0.098,0.000,0.185,1.776,1.776
2,Fevereiro,458,0.288,0.005,0.904,0.197,0.960,0.960,0.288,0.122,0.000,0.273,1.666,1.666
3,Março,458,0.263,0.000,1.091,0.224,0.972,0.971,0.263,0.120,0.000,0.199,3.844,3.844
4,Abril,461,0.354,0.001,1.263,0.277,0.972,0.972,0.354,0.202,0.000,0.284,2.639,2.639
5,Maio,461,0.369,0.000,1.921,0.324,0.982,0.982,0.369,0.242,0.000,0.272,2.099,2.099
6,Junho,467,0.362,0.002,1.885,0.328,0.990,0.990,0.362,0.239,0.001,0.269,4.477,4.477
7,Julho,467,0.381,0.004,1.877,0.322,0.987,0.987,0.381,0.248,0.001,0.298,4.412,4.412
8,Agosto,468,0.371,0.008,1.573,0.291,0.988,0.988,0.371,0.222,0.000,0.320,4.183,4.183
9,Setembro,470,0.421,0.013,2.156,0.365,0.983,0.983,0.421,0.310,0.001,0.310,4.156,4.156
10,Outubro,458,0.370,0.000,2.562,0.342,0.981,0.981,0.370,0.254,0.000,0.309,3.411,3.411
11,Novembro,459,0.355,0.005,1.556,0.293,0.971,0.971,0.355,0.212,0.000,0.272,2.699,2.699
12,Dezembro,459,0.271,0.002,1.474,0.247,0.969,0.969,0.271,0.134,0.000,0.192,2.102,2.102
