,Month,Qto_estacoes,ER_mean,ER_min,ER_max,ER_std,Variance,R2_score,MAE,MSE,MSLE,MedLE,std_target
1,Janeiro,458,0.285,0.006,1.112,0.226,0.957,0.956,0.285,0.133,0.000,0.230,1.801
2,Fevereiro,458,0.318,0.003,1.012,0.210,0.945,0.945,0.318,0.145,0.000,0.278,1.695
3,Março,458,0.320,0.004,1.133,0.244,0.971,0.970,0.320,0.162,0.000,0.263,3.828
4,Abril,461,0.318,0.018,1.231,0.251,0.975,0.975,0.318,0.164,0.000,0.260,2.667
5,Maio,461,0.418,0.005,1.648,0.338,0.979,0.979,0.418,0.289,0.001,0.372,2.119
6,Junho,467,0.375,0.004,1.994,0.340,0.987,0.987,0.375,0.256,0.001,0.279,4.412
7,Julho,467,0.442,0.003,2.264,0.426,0.977,0.977,0.442,0.377,0.001,0.324,4.319
8,Agosto,468,0.460,0.004,2.097,0.391,0.977,0.976,0.460,0.365,0.001,0.342,4.066
9,Setembro,470,0.399,0.000,1.794,0.355,0.979,0.979,0.399,0.285,0.000,0.309,4.020
10,Outubro,458,0.383,0.007,1.158,0.282,0.977,0.977,0.383,0.226,0.000,0.347,3.313
11,Novembro,459,0.346,0.001,1.178,0.271,0.971,0.970,0.346,0.193,0.000,0.277,2.664
12,Dezembro,459,0.341,0.007,1.091,0.220,0.963,0.963,0.341,0.165,0.000,0.301,2.101
